course_code,course_title,department
ENGTECH 4EE0,Four Month Co-op Experience III,ENGTECH
ENGTECH 4TF3,Mechanics of Fluids,ENGTECH
ENRTECH 3EM3,Transmission Lines and Electromagnetics,ENRTECH
EPHYSBME 5P06A,Integrated Engineering Physics & Biomedical Engineering Capstone Design Project,EPHYSBME
GENTECH 4MO3,Operations Management,GENTECH
IBEHS 1EE0,Introduction to Career Planning & Employment,IBEHS
IBEHS 1EP6A,Entrepreneurship in Biomedical Innovation: From Bench to Market,IBEHS
IBEHS 2EC0,iBioMed Work Term,IBEHS
IBEHS 2L01,Foundations of Effective Leadership in Engineering and Healthcare 1,IBEHS
IBEHS 3I06A,Research Project,IBEHS
IBEHS 4EE6A,Innovators in Scrubs,IBEHS
INTENG 2A03S,International Engagement at Home,INTENG
INTENG 3A03,International Engagement Capstone,INTENG
MATH 1A03,Calculus For Science I,MATH
MATH 1AA3,Calculus For Science II,MATH
MATH 1F03,Introduction to Calculus and Analytic Geometry,MATH
MATH 1X03,Calculus for Math and Stats I,MATH
MATH 2FM3,Introduction To Mathematical Finance,MATH
MATH 2LA3,Applications of Linear Algebra,MATH
MATH 3C03,Mathematical Physics I,MATH
MATH 3FM3,Mathematics of Finance,MATH
MATH 3T03,Inquiry in Topology,MATH
MATH 4AI3,Mathematical Foundations of Artificial Intelligence,MATH
MATLS 2A04,Introduction to Materials Engineering,MATLS
MATLS 2B03,Introduction to the Thermodynamics of Materials,MATLS
MATLS 3J03,Statistical Methods for Materials Engineers,MATLS
MATLS 3TP4,Fundamentals of Transport Phenomena in Materials Engineering,MATLS
MATLS 4C03,Modern Iron and Steelmaking,MATLS
MATLS 4FF3,"Synthesis, Applications and Environmental Impact of Nanomaterials",MATLS
MATLS 4I03,Sustainable Manufacturing Processes,MATLS
MATLS 4K06A,Senior Research Project,MATLS
MATLS 4LB3,Synthesis and Characterization of Biomedical Coatings,MATLS
MATLS 4LS2,Physical Metallurgy of Steels,MATLS
MATLS 4MS4,Materials Selection in Design,MATLS
MATLSBME 5P06A,Integrated Materials & Biomedical Engineering Capstone Design Project,MATLSBME
MECHBME 5P06A,Integrated Mechanical & Biomedical Engineering Capstone Design Project,MECHBME
MECHENG 2DA3,Mechanical Engineering Design Elements,MECHENG
MECHENG 3M03A,Composite Laboratory I,MECHENG
MECHENG 4XA3,Independent Research Project,MECHENG
MECHTRON 4AA4,Real-Time Systems and Control Applications,MECHTRON
PHYSICS 2C03,Modern Physics,PHYSICS
PHYSICS 3P03,Advanced Laboratory,PHYSICS
PHYSICS 4G03,Computational Physics,PHYSICS
PHYSICS 4IS3,Independent Study,PHYSICS
PHYSICS 4L03A,Literature Review,PHYSICS
PHYSICS 4LQ3A,Literature Review – Quantum,PHYSICS
PHYSICS 4P06A,Senior Research Project,PHYSICS
PHYSICS 4PQ6A,Senior Research Project - Quantum,PHYSICS
PROCTECH 3CT3,Systems and Control,PROCTECH
PSYCH 2AA3,Child Development,PSYCH
PSYCH 2C03,Social Psychology,PSYCH
PSYCH 2GG3,"Learning, Measuring, and Shaping Behaviour",PSYCH
PSYCH 3A03,Audition,PSYCH
PSYCH 3AB3,Adolescent Psychology,PSYCH
PSYCH 3BA3,Positive Psychology,PSYCH
PSYCH 3C03,Child Language Acquisition,PSYCH
PSYCH 3D03,The Multisensory Mind,PSYCH
PSYCH 3M03,Motivation and Emotion,PSYCH
PSYCH 3TT3,Science of Teaching and Learning,PSYCH
PSYCH 3VV3,Human Memory,PSYCH
SFGNTECH 3EE3,Engineering Economics,SFGNTECH
SFGNTECH 3FS3,Financial Systems,SFGNTECH
SFGNTECH 3MP3,Management Principles,SFGNTECH
SFGNTECH 4EM3,Legal and Regulatory Issues,SFGNTECH
SFGNTECH 4EN3,Entrepreneurial Thinking and Innovation,SFGNTECH
SFGNTECH 4MO3,Operations Management,SFGNTECH
SFGNTECH 4PM3,Project Management,SFGNTECH
SFGNTECH 4SE3,Technology Ethics and Sustainability,SFGNTECH
SFGNTECH 4TC3,Technical Communications,SFGNTECH
SFWRBME 5P06A,Integrated Software & Biomedical Engineering Capstone Design Project,SFWRBME
SFWRENG 2DA4,Digital Systems and Interfacing,SFWRENG
SFWRENG 4G06A,Software Design IV - Capstone Design Project,SFWRENG
SFWRTECH 3MA3,Contemporary Math for Software Development,SFWRTECH
SFWRTECH 3ST3,Probability and Statistics,SFWRTECH
SFWRTECH 4DA3,Data Analytics and Big Data,SFWRTECH
SFWRTECH 4VD3,Videogame Development Technology,SFWRTECH
SMRTTECH 3CC3,Cloud Computing and Internet of Things,SMRTTECH
TRONBME 5P06A,Integrated Mechatronics & Biomedical Engineering Capstone Design Project,TRONBME
