course_code,course_title,department,document_url,source_page_url,source_name,audit_status,academic_year,term,course_code_found,page_count,pdf_sha256,evidence,rejection_reason
AUTOTECH 2AE3,Design of Machine Elements,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/AUTOTECH-2AE3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2023,fall,True,5,b33f4387fe7a23f2e6bb71a9f3dad42a52bcc0c4b88e1c83d0f2fcfb14156b46,filename: fall-2023; matching course code,
AUTOTECH 2CD3,Computer Aided Design,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_2cd3_fall_2021.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,7,1041d746f99b1d2f8ed7560f2e6e588c604c315bc67d679e6f243ee3042eab7d,filename: fall_2021; matching course code,
AUTOTECH 2MT3,Structure and Properties of Materials,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_2mt3_fall_2021.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,6,dc3c5945fa986c268d8cb447e02ca548517c85914351af143b5ec73734be1640,filename: fall_2021; matching course code,
AUTOTECH 3AE3,Automotive Systems and Integrations,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3ae3_outline_draft.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,6,e09d3ccac1d95ef18182b1eb90ab490a246cb925570370ef8f8d2f208c3aa28d,visual: complete official outline; Fall 2021 dates and course code visible,
AUTOTECH 3CT3,Control Theory,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3ct3_outline_fall_2021_mcmaster.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,5,a13fb07204c5d202ce7517c50c250afe25802a794546e83736bf6262d9e17b3d,filename: fall_2021; matching course code,
AUTOTECH 3MP3,Manufacturing Processes and Systems,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3mp3_course_outline_fall_2021_yakout_0.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,5,1486beeca6faf9ec530e859582d786fbe4630ad5a464d0092898892bfb073b6a,filename: fall_2021; matching course code,
AUTOTECH 3MV3,Mechatronics,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3mv3.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2020,fall,True,6,a378c754bb9836b9f6f7b4c17afca59e9b015b7335edff4beac2992f358a84a4,document: fall 2020; matching course code,
AUTOTECH 3VD3,Mechanical Vibrations,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_3vd3_outline_fall_2021_mcmaster.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,5,1ef0b5218bb95e17e4c6854e57dfcd635d554de25d1b4b4e24b21dc7fba18a7c,filename: fall_2021; matching course code,
AUTOTECH 4AT3,Conceptual Design of Electric and Hybrid Vehicles,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_4at3_outline_21c.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,5,c677282ca3b49da5d8fd749dc95ee8f7285d0c94825f96f1c34b45ce6b56aa6b,document: fall 2021; matching course code,
AUTOTECH 4CI3,Robotics and Computer Integrated Manufacturing,AUTOTECH,https://www.eng.mcmaster.ca//app/uploads/2024/01/autotech_4ci3_outline_fall_2021_mcmaster.pdf,https://www.eng.mcmaster.ca/sept/courses/,engineering_technology,approved,2021,fall,True,6,4fc3f79ec8799bc80f2ed8ca6190706396e477dbb04c6787affdb08013077aaa,filename: fall_2021; matching course code,
