course_code,course_title,department,outline_status,preferred_source_kind,preferred_source_name,preferred_academic_year,preferred_term,preferred_professors,preferred_document_urls,preferred_source_page_url,needs_review
BIOLOGY 2L03,The Scientific Method in Biology,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Doc Roc (aka Jon Stone),https://mcmaster.simplesyllabusca.com/doc/s4g48bghv/Fall-2026-BIOLOGY-2L03-C01-STONEJ-The-Scientific-Method-in-Biology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3AA3,Fundamental Concepts of Pharmacology,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Joanna Wilson,https://mcmaster.simplesyllabusca.com/doc/mj7qf2no0/Fall-2026-BIOLOGY-3AA3-C01-WILSOJO-Fundamental-Concepts-of-Pharmacology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3DD3,Communities and Ecosystems,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Jurek Kolasa,https://mcmaster.simplesyllabusca.com/doc/pq0qs1039/Fall-2026-BIOLOGY-3DD3-C01-KOLASA-Communities-and-Ecosystems?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3EP3A,Applied Biology Placement,BIOLOGY,missing,,,,,,,,False
BIOLOGY 3EP3S,Applied Biology Placement,BIOLOGY,missing,,,,,,,,False
BIOLOGY 3FF3,Evolution,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Doc Roc (aka Jon Stone),https://mcmaster.simplesyllabusca.com/doc/etfnkro56/Fall-2026-BIOLOGY-3FF3-C01-STONEJ-Evolution?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3HD3,Human Disasters,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Krupa Patel,https://mcmaster.simplesyllabusca.com/doc/in7s8n8ec/Fall-2026-BIOLOGY-3HD3-C01-PATEK229-Human-Disasters?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3IR3A,Independent Research Project,BIOLOGY,missing,,,,,,,,False
BIOLOGY 3IR3S,Independent Research Project,BIOLOGY,missing,,,,,,,,False
BIOLOGY 3JJ3,Field Methods In Ecology,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Susan Dudley,https://mcmaster.simplesyllabusca.com/doc/t6v8j7sn6/Fall-2026-BIOLOGY-3JJ3-C01-SDUDLEY-Field-Methods-In-Ecology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3P03,Cell Physiology,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Alex Little,https://mcmaster.simplesyllabusca.com/doc/golljplvy/Fall-2026-BIOLOGY-3P03-C01-LITTLA6-Cell-Physiology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3R03,Field Biology I,BIOLOGY,missing,,,,,,,,False
BIOLOGY 3RF0,Field Work I,BIOLOGY,missing,,,,,,,,False
BIOLOGY 3S03,An Introduction to Bioinformatics,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Brian Golding,https://mcmaster.simplesyllabusca.com/doc/x0thd8qbs/Fall-2026-BIOLOGY-3S03-C01-GOLDING-An-Introduction-to-Bioinformatics?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3SA3,Applied Statistics for Biology,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Jonathan Dushoff,https://mcmaster.simplesyllabusca.com/doc/sb20r6605/Fall-2026-BIOLOGY-3SA3-C01-DUSHOFF-Applied-Statistics-for-Biology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3U03,Animal Physiology - Homeostasis,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Alex Proulx,https://mcmaster.simplesyllabusca.com/doc/w0dzysskx/Fall-2026-BIOLOGY-3U03-C01-KUGANAAS-Animal-Physiology-Homeostasis?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 3ZZ3,Topics in Physiology,BIOLOGY,missing,,,,,,,,False
BIOLOGY 4A03,Advanced Topics in Ecology,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Lovaye Kajiura,https://mcmaster.simplesyllabusca.com/doc/2x7go77y5/Fall-2026-BIOLOGY-4A03-C01-KAJIURA-Advanced-Topics-in-Ecology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 4C12A,Senior Thesis,BIOLOGY,missing,,,,,,,,False
BIOLOGY 4F06A,Senior Project,BIOLOGY,missing,,,,,,,,False
BIOLOGY 4F06S,Senior Project,BIOLOGY,missing,,,,,,,,False
BIOLOGY 4IR3,Advanced Independent Research Project,BIOLOGY,missing,,,,,,,,False
BIOLOGY 4J03,Field Biology II,BIOLOGY,missing,,,,,,,,False
BIOLOGY 4JF0,Field Work II,BIOLOGY,missing,,,,,,,,False
BIOLOGY 4MH3,Microbiome-Host Interactions,BIOLOGY,missing,,,,,,,,False
BIOLOGY 4PP3,Environmental Microbiology and Biotechnology,BIOLOGY,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Jianping (JP) Xu,https://mcmaster.simplesyllabusca.com/doc/6ns6vjvbx/Fall-2026-BIOLOGY-4PP3-C01-JPXU-Environmental-Microbiology-and-Biotechnology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOLOGY 4X03,Environmental Physiology,BIOLOGY,missing,,,,,,,,False
BIOMEDDC 2C03,Exploring Careers in Biomedical Sciences,BIOMEDDC,missing,,,,,,,,False
BIOMEDDC 3B06A,Drug Discovery and Development,BIOMEDDC,missing,,,,,,,,False
BIOMEDDC 3C06,Research Skills Laboratory and Inquiry,BIOMEDDC,missing,,,,,,,,False
BIOMEDDC 4A15A,Senior Research Thesis,BIOMEDDC,missing,,,,,,,,False
BIOMEDDC 4B03,Road to Biomedical Commercialization,BIOMEDDC,missing,,,,,,,,False
BIOTECH 2CB3,Cell Biology,BIOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2CB3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 2EC3,Chemical Engineering Concepts,BIOTECH,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/hiw2142bp/Fall-2026-BIOTECH-2EC3-C01-RAJABA-Chemical-Engineering-Concepts?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOTECH 2M03,Molecular Biology,BIOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2M03-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 2OC3,Organic Chemistry,BIOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2OC3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 3B03,Industrial Biotechnology,BIOTECH,found,official_department,engineering_technology,,,Faiez Alani,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3B03-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 3BC3,Bioprocess Control and Dynamics,BIOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3BC3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 3BP3,Bioreactor Processes and Design,BIOTECH,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/fu0iizebx/Fall-2026-BIOTECH-3BP3-C01-RAJABA-Bioreactor-Processes-and-Design?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
BIOTECH 3CM3,Computational Modeling of Biological Systems,BIOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3CM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 3FM3,Food Microbiology,BIOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3FM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 3IV3,Immunology and Virology,BIOTECH,found,official_department,engineering_technology,,,"Fei Geng, LEL.",https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3IV3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 3PM3,Pharmacology,BIOTECH,found,official_department,engineering_technology,,,Rashid Abu-Ghazalah,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-3PM3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 4BI3,Bioinformatics,BIOTECH,found,official_department,engineering_technology,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/biotech_4bi3_-_bioinformatics_course_outline_0.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 4BS3,Ethics and Biotechnology Regulations,BIOTECH,found,official_department,engineering_technology,,,Rashid Abu-Ghazalah,https://www.eng.mcmaster.ca//app/uploads/2024/01/biotech_4bs3_2021_course_outline.pdf,https://www.eng.mcmaster.ca/sept/courses/,True
BIOTECH 4TB3,Advanced Biotechnology,BIOTECH,missing,,,,,,,,False
BIOTECH 4TR3,Capstone Project II,BIOTECH,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/x6lypvxnd/Fall-2026-BIOTECH-4TR3-C01-RAJABA-Capstone-Project-II?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHALLENG 2CC3,Critical Challenges for Humanity,CHALLENG,found,official_department,engineering_engineering_physics,,,Harold Haugen,https://www.eng.mcmaster.ca//app/uploads/2024/05/CHALLENG-2CC3-Course-Outline-Fall-2026-August-16-2026.pdf,https://www.eng.mcmaster.ca/engphys/courses/,True
