course_code,course_title,department,academic_year,term,section,professor_name,document_url,source_page_url,source_kind,source_name,source_priority,is_preferred,needs_review,retrieved_at
BIOLOGY 2F03,Fundamental and Applied Ecology,BIOLOGY,2026,fall,,Dr. Emily Choy,https://mcmaster.simplesyllabusca.com/doc/2dq0j2s9m/Fall-2026-BIOLOGY-2F03-C01-CHOYE1-Fundamental-and-Applied-Ecology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 2L03,The Scientific Method in Biology,BIOLOGY,2026,fall,,Doc Roc (aka Jon Stone),https://mcmaster.simplesyllabusca.com/doc/s4g48bghv/Fall-2026-BIOLOGY-2L03-C01-STONEJ-The-Scientific-Method-in-Biology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3AA3,Fundamental Concepts of Pharmacology,BIOLOGY,2026,fall,,Dr. Joanna Wilson,https://mcmaster.simplesyllabusca.com/doc/mj7qf2no0/Fall-2026-BIOLOGY-3AA3-C01-WILSOJO-Fundamental-Concepts-of-Pharmacology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3DD3,Communities and Ecosystems,BIOLOGY,2026,fall,,Dr. Jurek Kolasa,https://mcmaster.simplesyllabusca.com/doc/pq0qs1039/Fall-2026-BIOLOGY-3DD3-C01-KOLASA-Communities-and-Ecosystems?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3FF3,Evolution,BIOLOGY,2026,fall,,Doc Roc (aka Jon Stone),https://mcmaster.simplesyllabusca.com/doc/etfnkro56/Fall-2026-BIOLOGY-3FF3-C01-STONEJ-Evolution?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3HD3,Human Disasters,BIOLOGY,2026,fall,,Dr. Krupa Patel,https://mcmaster.simplesyllabusca.com/doc/in7s8n8ec/Fall-2026-BIOLOGY-3HD3-C01-PATEK229-Human-Disasters?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3JJ3,Field Methods In Ecology,BIOLOGY,2026,fall,,Susan Dudley,https://mcmaster.simplesyllabusca.com/doc/t6v8j7sn6/Fall-2026-BIOLOGY-3JJ3-C01-SDUDLEY-Field-Methods-In-Ecology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3P03,Cell Physiology,BIOLOGY,2026,fall,,Dr. Alex Little,https://mcmaster.simplesyllabusca.com/doc/golljplvy/Fall-2026-BIOLOGY-3P03-C01-LITTLA6-Cell-Physiology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3S03,An Introduction to Bioinformatics,BIOLOGY,2026,fall,,Brian Golding,https://mcmaster.simplesyllabusca.com/doc/x0thd8qbs/Fall-2026-BIOLOGY-3S03-C01-GOLDING-An-Introduction-to-Bioinformatics?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3SA3,Applied Statistics for Biology,BIOLOGY,2026,fall,,Jonathan Dushoff,https://mcmaster.simplesyllabusca.com/doc/sb20r6605/Fall-2026-BIOLOGY-3SA3-C01-DUSHOFF-Applied-Statistics-for-Biology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 3U03,Animal Physiology - Homeostasis,BIOLOGY,2026,fall,,Alex Proulx,https://mcmaster.simplesyllabusca.com/doc/w0dzysskx/Fall-2026-BIOLOGY-3U03-C01-KUGANAAS-Animal-Physiology-Homeostasis?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 4A03,Advanced Topics in Ecology,BIOLOGY,2026,fall,,Dr. Lovaye Kajiura,https://mcmaster.simplesyllabusca.com/doc/2x7go77y5/Fall-2026-BIOLOGY-4A03-C01-KAJIURA-Advanced-Topics-in-Ecology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOLOGY 4PP3,Environmental Microbiology and Biotechnology,BIOLOGY,2026,fall,,Dr. Jianping (JP) Xu,https://mcmaster.simplesyllabusca.com/doc/6ns6vjvbx/Fall-2026-BIOLOGY-4PP3-C01-JPXU-Environmental-Microbiology-and-Biotechnology?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOTECH 2CB3,Cell Biology,BIOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2CB3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 2EC3,Chemical Engineering Concepts,BIOTECH,2026,fall,,Amin Reza Rajabzadeh,https://mcmaster.simplesyllabusca.com/doc/hiw2142bp/Fall-2026-BIOTECH-2EC3-C01-RAJABA-Chemical-Engineering-Concepts?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
BIOTECH 2M03,Molecular Biology,BIOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2M03-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
BIOTECH 2OC3,Organic Chemistry,BIOTECH,,,,,https://www.eng.mcmaster.ca//app/uploads/2024/01/BIOTECH-2OC3-Fall-2023.pdf,https://www.eng.mcmaster.ca/sept/courses/,official_department,engineering_technology,2,True,True,2026-09-04T19:34:27.544988+00:00
